,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
116,"['CMIP', 'DynVarMIP', 'HighResMIP']",['Published'],['MIROC'],NICAM16-7S,NICAM.16 gl07-L38 with NSW6,2017,NICAM16-7S,@jamstec.go.jp <- miroc-cmip6,2019-03-18: initially published under CC BY-SA 4.0; 2022-06-14: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed MACv2-SP,50 km,"NICAM.16 (56km icosahedral grid; 163,842 grid cells (=10*4^7+2); 38 levels; top level 40 km)",100 km,none,none,MATSIRO6 (w/o MOSAIC),50 km,none,none,none,none,none,none,Fixed,50 km,
117,"['CMIP', 'DynVarMIP', 'HighResMIP']",['Published'],['MIROC'],NICAM16-8S,NICAM.16 gl08-L38 with NSW6,2017,NICAM16-8S,@jamstec.go.jp <- miroc-cmip6,2019-08-30: initially published under CC BY-SA 4.0; 2022-06-14: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed MACv2-SP,25 km,"NICAM.16 (28km icosahedral grid; 655,362 grid cells (=10*4^8+2); 38 levels; top level 40 km)",50 km,none,none,MATSIRO6 (w/o MOSAIC),25 km,none,none,none,none,none,none,Fixed,25 km,
118,"['CMIP', 'DynVarMIP', 'HighResMIP']",['Published'],['MIROC'],NICAM16-9S,NICAM.16 gl09-L38 with NSW6,2017,NICAM16-9S,@jamstec.go.jp <- miroc-cmip6,2019-08-30: initially published under CC BY-SA 4.0; 2022-06-14: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed MACv2-SP,10 km,"NICAM.16 (14km icosahedral grid; 2,621,442 grid cells (=10*4^9+2); 38 levels; top level 40 km)",25 km,none,none,MATSIRO6 (w/o MOSAIC),10 km,none,none,none,none,none,none,Fixed,10 km,
119,"['CMIP', 'DCPP']",['Published'],['NCC'],NorCPM1,Norwegian Climate Prediction Model version 1,2019,NorCPM1,@uib.no <- norcpm,2019-09-14: initially published under CC BY-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,OsloAero4.1 (same grid as atmos),250 km,CAM-OSLO4.1 (2 degree resolution; 144 x 96 longitude/latitude; 26 levels; top level ~2 hPa),250 km,OsloChemSimp4.1 (same grid as atmos),250 km,CLM4 (same grid as atmos),250 km,none,none,MICOM1.1 (1 degree resolution; 320 x 384 longitude/latitude; 53 levels; top grid cell 0-2.5 m [native model uses hybrid density and generic upper-layer coordinate interpolated to z-level for contributed data]),100 km,HAMOCC5.1 (same grid as ocean),100 km,CICE4 (same grid as ocean),100 km,
120,"['CMIP', 'PMIP']",['Published'],['NCC'],NorESM1-F,NorESM1-F (a fast version of NorESM that is designed for paleo and multi-ensemble simulations),2018,NorESM1-F,@met.no <- noresm-ncc,2019-09-20: initially published under CC BY-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,CAM4 (2 degree resolution; 144 x 96; 32 levels; top level 3 mb),250 km,none,none,CLM4,250 km,CISM,250 km,MICOM (1 degree resolution; 360 x 384; 70 levels; top grid cell minimum 0-2.5 m [native model uses hybrid density and generic upper-layer coordinate interpolated to z-level for contributed data]),100 km,HAMOCC5.1,100 km,CICE4,100 km,
121,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CFMIP', 'CMIP', 'DAMIP', 'DCPP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'ScenarioMIP', 'VolMIP']",['Published'],['NCC'],NorESM2-LM,"NorESM2-LM (low atmosphere-medium ocean resolution, GHG concentration driven)",2017,NorESM2-LM,@met.no <- noresm-ncc,2019-08-15: initially published under CC BY-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,OsloAero,250 km,CAM-OSLO (2 degree resolution; 144 x 96; 32 levels; top level 3 mb),250 km,OsloChemSimp,250 km,CLM,250 km,CISM,250 km,MICOM (1 degree resolution; 360 x 384; 70 levels; top grid cell minimum 0-2.5 m [native model uses hybrid density and generic upper-layer coordinate interpolated to z-level for contributed data]),100 km,HAMOCC,100 km,CICE,100 km,
122,"['AerChemMIP', 'CFMIP', 'CMIP', 'DAMIP', 'OMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['NCC'],NorESM2-MM,"NorESM2-MM (medium atmosphere-medium ocean resolution, GHG concentration driven)",2017,NorESM2-MM,@met.no <- noresm-ncc,2019-11-08: initially published under CC BY-SA 4.0; 2022-06-03: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,OsloAero,100 km,CAM-OSLO (1 degree resolution; 288 x 192; 32 levels; top level 3 mb),100 km,OsloChemSimp,100 km,CLM,100 km,CISM,100 km,MICOM (1 degree resolution; 360 x 384; 70 levels; top grid cell minimum 0-2.5 m [native model uses hybrid density and generic upper-layer coordinate interpolated to z-level for contributed data]),100 km,HAMOCC,100 km,CICE,100 km,
123,['CMIP'],['Registered'],['PCMDI'],PCMDI-test 1.0,PCMDI-test 1.0 (This entry is free text for users to contribute verbose information),1989,PCMDI-test-1-0,,,,,,,none,none,Earth1.0-gettingHotter (360 x 180 longitude/latitude; 50 levels; top level 0.1 mb),1x1 degree,none,none,Earth1.0,1x1 degree,none,none,BlueMarble1.0-warming (360 x 180 longitude/latitude; 50 levels; top grid cell 0-10 m),1x1 degree,none,none,Declining1.0-warming (360 x 180 longitude/latitude),1x1 degree,
124,['RFMIP'],['Published'],['AER'],RRTMG-LW 4.91,"RRTM for GCMs v4.91, longwave",2017,RRTMG-LW-4-91,@aer.com <- aer_rrtmg,2020-01-10: initially published under CC BY-NC-SA 4.0; 2022-10-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
125,['RFMIP'],['Published'],['AER'],RRTMG-SW 4.02,"RRTM for GCMs v4.02, shortwave",2017,RRTMG-SW-4-02,@aer.com <- aer_rrtmg,2020-01-10: initially published under CC BY-NC-SA 4.0; 2022-10-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
126,['RFMIP'],['Published'],['RTE-RRTMGP-Consortium'],RTE+RRTMGP (2018-12-04 full-resolution),Radiative Transfer for Energetics using RRTM for GCM applications - Parallel (2018-12-04 full-resolution),2019,RTE-RRTMGP-181204,@aer.com <- aer_rrtmgp,2019-10-07: initially published under CC BY-NC-SA 4.0; 2022-10-07: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
127,"['CMIP', 'ScenarioMIP']",['Published'],['SNU'],SAM0-UNICON,SAM0-UNICON (SNU Atmosphere Model version 0 with Unified Convection Scheme),2017,SAM0-UNICON,@snu.ac.kr <- sungsup,2019-03-23: initially published under CC BY-SA 4.0; 2022-10-12: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,MAM3,100 km,CAM5.3 with UNICON (1deg; 288 x 192 longitude/latitude; 30 levels; top level ~2 hPa),100 km,none,none,CLM4.0,100 km,none,none,POP2 (Displaced Pole; 320 x 384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,none,none,CICE4.0,100 km,
128,"['AerChemMIP', 'CFMIP', 'CMIP', 'GMMIP', 'LUMIP', 'PAMIP', 'PMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['AS-RCEC'],TaiESM 1.0,Taiwan Earth System Model 1.0,2018,TaiESM1,@gate.sinica.edu.tw <- leelupin,2019-12-25: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SNAP (same grid as atmos),100 km,TaiAM1 (0.9x1.25 degree; 288 x 192 longitude/latitude; 30 levels; top level ~2 hPa),100 km,SNAP (same grid as atmos),100 km,CLM4.0 (same grid as atmos),100 km,none,none,POP2 (320x384 longitude/latitude; 60 levels; top grid cell 0-10 m),100 km,none,none,CICE4,50 km,
129,"['CMIP', 'OMIP']",['Published'],['NTU'],TaiESM1-TIMCOM,Taiwan Earth System Model 1.0 using TIMCOM ocean model,2020,TaiESM1-TIMCOM,@ntu.edu.tw <- tsengyh,2020-09-29: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SNAP (same grid as atmos),100 km,TaiAM1 (0.9x1.25 degree; 288 x 192 longitude/latitude; 30 levels; top level ~2 hPa),100 km,SNAP (same grid as atmos),100 km,CLM4.0 (same grid as atmos),100 km,none,none,"TIMCOM (TIMCOMv1.7, primarily 1deg; 360 x 288 longitude/latitude; 45 levels; top grid cell 0-10 m)",100 km,none,none,CICE4,100 km,
130,"['CMIP', 'OMIP']",['Published'],['NTU'],TaiESM1-TIMCOM2,Taiwan Earth System Model 1.0 using TIMCOM ocean model 2.0,2021,TaiESM1-TIMCOM2,@ntu.edu.tw <- tsengyh,2021-12-13: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,SNAP (same grid as atmos),100 km,TaiAM1 (0.9x1.25 degree; 288 x 192 longitude/latitude; 30 levels; top level ~2 hPa),100 km,SNAP (same grid as atmos),100 km,CLM4.0 (same grid as atmos),100 km,none,none,"TIMCOM (TIMCOMv2.2, primarily 1deg; 320 x 288 longitude/latitude; 55 levels; top grid cell 0-10 m)",100 km,none,none,CICE4 (same grid as ocean),100 km,
131,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CMIP', 'DAMIP', 'GeoMIP', 'LS3MIP', 'LUMIP', 'OMIP', 'PMIP', 'RFMIP', 'ScenarioMIP', 'VolMIP']",['Published'],"['MOHC', 'NERC', 'NIMS-KMA', 'NIWA']",UKESM1.0-LL,UKESM1.0-N96ORCA1,2018,UKESM1-0-LL,@metoffice.gov.uk <- cmip6.ukesm1,2019-04-04: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,UKCA-StratTrop,250 km,JULES-ES-1.0,250 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA1 tripolar primarily 1 deg with meridional refinement down to 1/3 degree in the tropics; 360 x 330 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,MEDUSA2,100 km,CICE-HadGEM3-GSI8 (eORCA1 tripolar primarily 1 deg; 360 x 330 longitude/latitude),100 km,
132,"['CMIP', 'ScenarioMIP']",['Published'],"['MOHC', 'NERC', 'NIMS-KMA', 'NIWA']",UKESM1.1-LL,UKESM1.1-N96ORCA1,2021,UKESM1-1-LL,@metoffice.gov.uk <- cmip6.ukesm1,2022-05-04: initially published under CC BY-SA 4.0; 2022-05-04: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,UKCA-StratTrop,250 km,JULES-ES-1.0,250 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA1 tripolar primarily 1 deg with meridional refinement down to 1/3 degree in the tropics; 360 x 330 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,MEDUSA2,100 km,CICE-HadGEM3-GSI8 (eORCA1 tripolar primarily 1 deg; 360 x 330 longitude/latitude),100 km,
133,['ISMIP6'],['Published'],"['MOHC', 'NERC']",UKESM1.ice-LL,UKESM1.ice-N96ORCA1,2019,UKESM1-ice-LL,@metoffice.gov.uk <- cmip6.ukesm1,2022-02-11: initially published under CC BY-SA 4.0; 2022-02-11: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,none,none,JULES-ISMIP6-1.0,250 km,BISICLES-UKESM-ISMIP6-1.0,5 km,NEMO-HadGEM3-GO6.0 (eORCA1 tripolar primarily 1 deg with meridional refinement down to 1/3 degree in the tropics; 360 x 330 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,CICE-HadGEM3-GSI8 (eORCA1 tripolar primarily 1 deg; 360 x 330 longitude/latitude),100 km,
